sn_number,redshift,mu,mu_err,s,s_err,t0,t0_err,chi2,ndf,chi2_reduced,sigma_int_used,mu_significance,s_significance
83,0.768223,43.376234,0.056281,1.151695,0.021034,-3.011571,0.077922,10.216901,17,0.600994,0.120000,770.714672,7.211843
84,0.662954,42.806634,0.113753,0.998282,0.056927,-1.116649,0.604219,26.150563,17,1.538268,0.120000,376.311656,0.030187
85,0.712037,43.068258,0.060753,1.105180,0.022183,-3.303955,0.069751,28.649797,17,1.685282,0.120000,708.911458,4.741466
86,0.882402,43.546223,0.050450,0.938222,0.012520,-2.881634,0.540974,15.732297,17,0.925429,0.120000,863.158316,4.934528
87,0.866407,43.502238,0.125104,1.014907,0.060773,2.375776,0.377185,21.508649,17,1.265215,0.120000,347.728550,0.245282
88,0.507684,42.196389,0.120697,1.087397,0.056199,2.012613,0.381812,12.526549,17,0.736856,0.120000,349.605266,1.555134
89,0.917879,43.647888,0.154146,1.014885,0.079522,1.855591,0.514712,5.910589,17,0.347682,0.120000,283.159573,0.187174
90,0.807336,43.240762,0.110187,0.907174,0.048719,1.383485,0.335935,16.491156,17,0.970068,0.120000,392.431538,1.905357
91,0.834102,43.506423,0.113359,0.957138,0.052326,2.345933,0.348522,8.086728,17,0.475690,0.120000,383.794157,0.819125
92,0.477953,42.073370,0.110047,0.995910,0.052166,-0.237518,0.535952,23.794688,17,1.399688,0.120000,382.322963,0.078405
93,0.727746,43.100085,0.148407,1.110227,0.079883,-0.216917,0.680051,17.878447,17,1.051673,0.120000,290.418173,1.379857
94,0.642631,42.831792,0.018222,1.184669,0.100575,-1.891237,4.222602,21.834756,17,1.284397,0.120000,2350.585945,1.836139
95,0.730314,42.952242,0.118562,0.972852,0.059995,0.031101,0.582851,10.988366,17,0.646374,0.120000,362.276839,0.452500
96,0.725490,42.994065,0.137548,1.034647,0.070745,0.363143,0.600308,29.180071,17,1.716475,0.120000,312.575687,0.489750
97,1.108480,44.173275,0.170617,1.003058,0.098682,-0.660880,0.882111,13.863649,17,0.815509,0.120000,258.902687,0.030989
98,0.506745,42.164959,0.102451,1.072602,0.044290,3.202744,0.281605,13.713322,17,0.806666,0.120000,411.563274,1.639247
99,0.664524,42.701208,0.111447,0.979621,0.050059,1.480666,0.353541,8.853094,17,0.520770,0.120000,383.152315,0.407107
100,0.625888,42.621470,0.110990,1.022841,0.050973,2.317547,0.361638,9.221878,17,0.542463,0.120000,384.013010,0.448110
101,0.661217,42.918686,0.113240,1.013949,0.052019,1.930490,0.363172,22.078043,17,1.298708,0.120000,379.007409,0.268140
102,0.406141,41.691560,0.098393,0.988052,0.048687,-2.306974,0.702441,12.534199,17,0.737306,0.120000,423.723590,0.245403
103,0.615710,42.803672,0.141081,1.197664,0.059474,-3.439930,0.161511,17.538082,17,1.031652,0.120000,303.398777,3.323528
104,0.596596,42.589377,0.095016,0.982628,0.039143,3.437915,0.253266,8.203652,17,0.482568,0.120000,448.232066,0.443804
105,0.804550,43.401186,0.125973,1.027401,0.072971,-3.182731,0.956875,7.003477,17,0.411969,0.120000,344.528129,0.375506
106,0.695782,42.787496,0.089896,0.891361,0.034759,1.958202,0.235951,17.853342,17,1.050197,0.120000,475.966811,3.125464
107,1.199714,44.314275,0.057560,0.946942,0.021910,-2.218227,0.100422,10.805906,17,0.635642,0.120000,769.873917,2.421705
108,0.976241,43.668759,0.054255,0.946783,0.021824,2.439750,0.064886,11.543671,17,0.679039,0.120000,804.883508,2.438466
109,0.426938,41.751709,0.081440,0.928903,0.028522,2.805648,0.205373,16.960847,17,0.997697,0.120000,512.667253,2.492671
110,1.120789,44.435119,0.269210,1.300806,0.185819,-2.522118,2.009801,17.401175,17,1.023599,0.120000,165.057174,1.618806
111,0.389573,41.323476,0.065259,0.975698,0.021441,-0.218665,0.162852,25.847661,17,1.520451,0.120000,633.222244,1.133460
112,0.468109,41.987767,0.112928,1.052986,0.056421,-0.507623,0.624438,28.008567,17,1.647563,0.120000,371.810088,0.939117
113,0.813478,43.401464,0.147142,1.084167,0.080042,-0.048435,0.700724,22.894829,17,1.346755,0.120000,294.962754,1.051539
114,1.060790,44.168278,0.195152,1.098393,0.121035,-1.662030,1.213051,14.552709,17,0.856042,0.120000,226.327560,0.812932
115,0.629634,42.558103,0.090934,0.924222,0.036042,2.440945,0.245996,16.716924,17,0.983348,0.120000,468.011409,2.102485
116,0.763085,43.330224,0.144452,1.088394,0.075962,1.482539,0.575860,11.205204,17,0.659130,0.120000,299.963621,1.163652
117,0.781127,43.317818,0.033100,0.958890,0.006753,-1.519762,0.059859,7.747704,17,0.455747,0.120000,1308.707943,6.087653
118,0.725779,43.006126,0.105848,0.919642,0.056944,-2.854037,0.796471,8.925854,17,0.525050,0.120000,406.299141,1.411177
119,0.349010,41.161108,0.086205,0.959221,0.040900,-3.967081,0.727420,16.326057,17,0.960356,0.120000,477.479513,0.997038
120,0.666468,42.808964,0.140135,1.101569,0.072531,0.745231,0.585929,30.521465,17,1.795380,0.120000,305.483975,1.400353
121,0.693890,42.819237,0.093664,0.826736,0.037508,0.037540,0.327814,17.660820,17,1.038872,0.120000,457.156637,4.619430
122,1.002212,44.084327,0.198016,1.220182,0.114823,0.990596,0.830654,13.570385,17,0.798258,0.120000,222.630406,1.917578
123,0.347666,40.969243,0.083045,0.910972,0.031805,-0.710883,0.362434,28.453301,17,1.673724,0.120000,493.340275,2.799154
124,0.631366,42.881140,0.154236,1.113658,0.079762,1.668070,0.571107,16.867726,17,0.992219,0.120000,278.022941,1.424965
125,0.723065,42.954147,0.130793,1.023690,0.067827,-0.241873,0.626641,18.462635,17,1.086037,0.120000,328.412697,0.349273
126,0.532806,42.400030,0.112922,1.051609,0.061881,-3.074605,0.871726,19.041039,17,1.120061,0.120000,375.481504,0.834001
127,0.871978,43.570247,0.142521,1.002178,0.074256,0.378062,0.609142,8.860826,17,0.521225,0.120000,305.711507,0.029332
128,0.885020,43.617167,0.036747,1.024804,0.009784,-2.299232,0.070569,14.842521,17,0.873089,0.120000,1186.962465,2.535213
129,1.134733,44.130508,0.173916,1.005065,0.094284,0.588528,0.659808,7.935763,17,0.466810,0.120000,253.746388,0.053721
130,0.797305,43.377873,0.136504,1.127492,0.069027,2.723676,0.406947,12.098890,17,0.711699,0.120000,317.776828,1.846983
131,0.226884,40.284906,0.094159,1.007519,0.042157,-1.899830,0.572452,14.546452,17,0.855674,0.120000,427.837724,0.178363
132,0.346263,41.232189,0.093040,1.017758,0.036448,1.894577,0.264964,17.729480,17,1.042911,0.120000,443.168466,0.487215
133,0.943219,43.593155,0.127531,0.868974,0.061210,0.340906,0.475729,5.731717,17,0.337160,0.120000,341.822697,2.140596
134,0.719045,42.925219,0.107289,0.880435,0.054200,-1.609270,0.660975,18.508019,17,1.088707,0.120000,400.091320,2.205994
135,0.666064,42.770107,0.014563,0.927343,0.050953,1.522287,2.706434,10.980764,17,0.645927,0.120000,2936.912070,1.425972
136,0.649730,42.863095,0.122094,1.023398,0.062602,-0.367009,0.628062,18.671426,17,1.098319,0.120000,351.065712,0.373757
137,0.567232,42.503018,0.116156,1.053700,0.062889,-1.553401,0.777052,17.358128,17,1.021066,0.120000,365.913237,0.853887
138,0.683740,42.831281,0.101205,0.920204,0.044155,0.844719,0.358037,21.508830,17,1.265225,0.120000,423.213031,1.807178
139,0.695680,42.786566,0.012545,0.983135,0.040493,1.850933,2.782941,29.729318,17,1.748783,0.120000,3410.762040,0.416502
140,0.742876,43.366472,0.169679,1.194811,0.093732,0.937643,0.714807,10.861797,17,0.638929,0.120000,255.579835,2.078379
141,0.636512,42.593097,0.108900,0.932831,0.055717,-1.590375,0.687386,11.088351,17,0.652256,0.120000,391.121778,1.205552
142,0.935224,43.868611,0.155205,1.030978,0.086006,-0.457824,0.759715,13.477178,17,0.792775,0.120000,282.649528,0.360190
143,0.459357,41.805632,0.113368,1.061250,0.056763,-0.309230,0.620444,28.925324,17,1.701490,0.120000,368.761323,1.079040
144,1.038930,43.954442,0.156493,1.026492,0.086087,0.549284,0.684064,20.095400,17,1.182082,0.120000,280.870948,0.307736
145,0.873693,43.456567,0.115340,0.963236,0.053721,1.946472,0.356834,10.104437,17,0.594379,0.120000,376.769390,0.684349
146,0.720311,42.966159,0.109460,0.914588,0.055939,-2.489505,0.703692,9.382699,17,0.551923,0.120000,392.526615,1.526866
147,0.522920,42.077641,0.094697,0.936608,0.044543,-1.681996,0.583508,26.893282,17,1.581958,0.120000,444.338884,1.423166
148,0.783618,43.288772,0.110261,0.910005,0.048713,1.406376,0.338540,10.671071,17,0.627710,0.120000,392.602997,1.847456
149,0.720527,43.096672,0.043366,0.992837,0.007544,-2.141172,0.454490,18.076566,17,1.063327,0.120000,993.779386,0.949489
